250.0, 1250.0, 200.0, 500.0, 1250.0, 200.0
250.0, 1250.0, 200.0, 250.0, 1250.0, 700.0
500.0, 1250.0, 200.0, 500.0, 1250.0, 700.0
500.0, 1250.0, 200.0, 500.0, 1500.0, 200.0
250.0, 1250.0, 200.0, 250.0, 1500.0, 200.0
250.0, 1500.0, 200.0, 250.0, 1500.0, 700.0
250.0, 1250.0, 700.0, 250.0, 1500.0, 700.0
250.0, 1250.0, 700.0, 500.0, 1250.0, 700.0
250.0, 1500.0, 700.0, 500.0, 1500.0, 700.0
500.0, 1500.0, 700.0, 500.0, 1250.0, 700.0
500.0, 1500.0, 700.0, 500.0, 1500.0, 200.0
500.0, 1500.0, 200.0, 250.0, 1500.0, 200.0
