200.0, 800.0, 200.0, 600.0, 800.0, 200.0
200.0, 800.0, 200.0, 200.0, 1200.0, 200.0
200.0, 1200.0, 200.0, 600.0, 1200.0, 200.0
600.0, 800.0, 200.0, 600.0, 1200.0, 200.0
200.0, 800.0, 200.0, 200.0, 800.0, 600.0
600.0, 800.0, 200.0, 600.0, 800.0, 600.0
200.0, 1200.0, 200.0, 200.0, 1200.0, 600.0
600.0, 1200.0, 200.0, 600.0, 1200.0, 600.0
200.0, 800.0, 600.0, 600.0, 800.0, 600.0
200.0, 800.0, 600.0, 200.0, 1200.0, 600.0
200.0, 1200.0, 600.0, 600.0, 1200.0, 600.0
600.0, 800.0, 600.0, 600.0, 1200.0, 600.0
